""	"p_val"	"avg_logFC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"603"	1.3801022382123e-268	1.01452548742948	0.466	0.241	2.7602044764246e-265	"12"	"Ceacam1"
"604"	5.11581145387546e-265	1.08180884862152	0.579	0.374	1.02316229077509e-261	"12"	"Cldn1"
"605"	4.03742475523223e-254	1.03955917378905	0.527	0.316	8.07484951046445e-251	"12"	"Plscr1"
"606"	1.65992447585079e-242	0.998524638436061	0.617	0.419	3.31984895170159e-239	"12"	"Rbp1"
"607"	4.73513868926417e-239	1.11027654109251	0.509	0.31	9.47027737852835e-236	"12"	"Stra6"
"608"	4.64058391081515e-195	0.967146188678896	0.678	0.526	9.2811678216303e-192	"12"	"Atp1a2"
"609"	4.75502829550147e-168	1.007526520471	0.394	0.248	9.51005659100295e-165	"12"	"Slco2a1"
"610"	4.94267243835656e-154	1.07795626477265	0.505	0.374	9.88534487671311e-151	"12"	"Medag"
"611"	1.50031060967377e-146	1.00389924996605	0.595	0.508	3.00062121934753e-143	"12"	"Ngf"
"612"	1.28764010519297e-142	1.07995557722767	0.499	0.358	2.57528021038594e-139	"12"	"Ifit1"
"613"	3.18863124717828e-102	1.03572036561365	0.439	0.364	6.37726249435655e-99	"12"	"Aldh1a3"
"614"	0	2.71634742378662	0.908	0.234	0	"13"	"Flt1"
"615"	0	2.52609499426524	0.836	0.258	0	"13"	"Ctla2a"
"616"	0	2.38211211710015	0.899	0.243	0	"13"	"Pecam1"
"617"	0	2.35166377018378	0.783	0.193	0	"13"	"Cldn5"
"618"	0	2.33371833167903	0.799	0.202	0	"13"	"Ly6c1"
"619"	0	2.24890336093057	0.877	0.237	0	"13"	"Cdh5"
"620"	0	2.1254615324259	0.955	0.579	0	"13"	"Tm4sf1"
"621"	0	1.99570220696247	0.789	0.158	0	"13"	"Egfl7"
"622"	0	1.86738527297557	0.805	0.205	0	"13"	"Rasip1"
"623"	0	1.86191362196954	0.87	0.407	0	"13"	"Cd93"
"624"	0	1.84861877209555	0.825	0.401	0	"13"	"Ly6a"
"625"	0	1.84713987507087	0.796	0.182	0	"13"	"Kdr"
"626"	0	1.83523672758297	0.826	0.227	0	"13"	"Adgrf5"
"627"	0	1.78676445020986	0.806	0.252	0	"13"	"Cyyr1"
"628"	0	1.78420186330939	0.767	0.238	0	"13"	"Emcn"
"629"	0	1.7495432660325	0.811	0.307	0	"13"	"S1pr1"
"630"	0	1.74358616878961	0.879	0.301	0	"13"	"Epas1"
"631"	0	1.73144992260278	0.761	0.185	0	"13"	"Ptprb"
"632"	0	1.6793385517299	0.674	0.302	0	"13"	"Iigp1"
"633"	0	1.60655523748299	0.608	0.197	0	"13"	"Gbp4"
"634"	0	1.59697363754126	0.876	0.47	0	"13"	"Mast4"
"635"	0	1.59246356160595	0.729	0.267	0	"13"	"Abcb1a"
"636"	0	1.56693956006958	0.961	0.658	0	"13"	"Tcf4"
"637"	0	1.55027044934064	0.799	0.408	0	"13"	"Adamts9"
"638"	0	1.54538257050689	0.838	0.399	0	"13"	"Arhgap31"
"639"	0	1.53402410121236	0.761	0.169	0	"13"	"Adgrl4"
"640"	0	1.53237556420818	0.755	0.265	0	"13"	"Eng"
"641"	0	1.47567636571342	0.673	0.26	0	"13"	"Slc30a1"
"642"	0	1.4553587326277	0.695	0.27	0	"13"	"Abcg2"
"643"	0	1.44847141015935	0.77	0.316	0	"13"	"Sema7a"
"644"	0	1.44026006719569	0.835	0.402	0	"13"	"Cd200"
"645"	0	1.43808779633657	0.783	0.205	0	"13"	"Mmrn2"
"646"	0	1.4260271470103	0.759	0.474	0	"13"	"Hbegf"
"647"	0	1.42512918403709	0.745	0.233	0	"13"	"Esam"
"648"	0	1.34305276072028	0.904	0.624	0	"13"	"Nfkbia"
"649"	0	1.34221933906101	0.84	0.515	0	"13"	"Glul"
"650"	0	1.33860087241198	0.717	0.145	0	"13"	"Mecom"
"651"	0	1.33588160158849	0.781	0.481	0	"13"	"Pltp"
"652"	0	1.33020181530899	0.824	0.451	0	"13"	"Notch1"
"653"	0	1.32818450004501	0.741	0.405	0	"13"	"Lrrc32"
"654"	0	1.32672967635021	0.71	0.223	0	"13"	"Podxl"
"655"	0	1.32512707015724	0.769	0.331	0	"13"	"Uaca"
"656"	0	1.32272591190644	0.656	0.196	0	"13"	"Grrp1"
"657"	0	1.30754385600351	0.9	0.701	0	"13"	"Igfbp7"
"658"	0	1.29775763899051	0.683	0.123	0	"13"	"Myct1"
"659"	1.11169892257213e-300	1.29152972839776	0.627	0.222	2.22339784514426e-297	"13"	"Aqp1"
"660"	9.69063430729418e-272	1.36598511704857	0.541	0.138	1.93812686145884e-268	"13"	"Slco1a4"
"661"	4.08449603633204e-223	1.77211272658573	0.509	0.246	8.16899207266408e-220	"13"	"Selp"
"662"	2.87285717000543e-167	1.57420363573913	0.58	0.334	5.74571434001086e-164	"13"	"Rsad2"
"663"	3.18916395654095e-117	1.84586535384418	0.431	0.213	6.37832791308191e-114	"13"	"Fabp4"
"664"	0	1.31345907283754	0.91	0.743	0	"14"	"Thbs1"
"665"	0	1.18044672391757	0.866	0.666	0	"14"	"Gpc3"
"666"	0	1.13508612560553	0.992	0.889	0	"14"	"Gsn"
"667"	0	1.0484753968808	0.864	0.75	0	"14"	"Tgfbi"
"668"	0	1.02403946033471	0.941	0.802	0	"14"	"Lum"
"669"	0	0.936985715232577	0.999	0.893	0	"14"	"Dcn"
"670"	0	0.878882348944096	0.999	0.983	0	"14"	"Apod"
"671"	0	0.860738034174018	0.914	0.85	0	"14"	"Btg1"
"672"	0	0.826699520467261	0.978	0.774	0	"14"	"H2-Aa"
"673"	2.36863881605864e-290	0.836688391126839	0.885	0.774	4.73727763211728e-287	"14"	"Fn1"
"674"	8.3609378998021e-279	1.17054895087004	0.861	0.778	1.67218757996042e-275	"14"	"Hmox1"
"675"	5.96494105938675e-276	0.800321651155926	0.817	0.637	1.19298821187735e-272	"14"	"Il1b"
"676"	8.50674021434827e-259	0.993333202115526	0.813	0.69	1.70134804286965e-255	"14"	"Ccl11"
"677"	1.87628575670496e-258	1.00808914351786	0.811	0.72	3.75257151340993e-255	"14"	"Serpinh1"
"678"	1.12109712138076e-255	1.06757379128997	0.79	0.69	2.24219424276151e-252	"14"	"Igfbp4"
"679"	1.76438519862756e-251	0.846480400107334	0.88	0.801	3.52877039725512e-248	"14"	"Col1a2"
"680"	6.76487043722448e-242	1.21010421975717	0.761	0.664	1.3529740874449e-238	"14"	"Col15a1"
"681"	3.33417493388537e-240	1.31706864972355	0.755	0.645	6.66834986777074e-237	"14"	"Ptx3"
"682"	3.80016243559205e-238	1.15480080375439	0.777	0.701	7.60032487118411e-235	"14"	"Trf"
"683"	7.06419256747965e-210	0.813971028111358	0.849	0.784	1.41283851349593e-206	"14"	"Sat1"
"684"	7.70180015179096e-187	0.893474825075598	0.766	0.691	1.54036003035819e-183	"14"	"Cp"
"685"	1.61119682432411e-176	0.945832128693198	0.767	0.738	3.22239364864821e-173	"14"	"Zfp36l1"
"686"	1.68583381364515e-173	0.94986405465662	0.769	0.718	3.37166762729031e-170	"14"	"Serpine2"
"687"	1.42462833757673e-153	0.951953473974477	0.688	0.612	2.84925667515346e-150	"14"	"Itm2a"
"688"	9.18973402492257e-145	0.749026138804241	0.728	0.64	1.83794680498451e-141	"14"	"Sparcl1"
"689"	1.1677779048233e-133	0.795496477323074	0.698	0.664	2.33555580964659e-130	"14"	"Tcf4"
"690"	6.28021523231121e-128	0.875979877763229	0.696	0.658	1.25604304646224e-124	"14"	"Mmp2"
"691"	3.43572999856414e-125	0.866799004766344	0.691	0.652	6.87145999712829e-122	"14"	"Ugdh"
"692"	1.97565500635282e-119	0.801847585729855	0.735	0.733	3.95131001270565e-116	"14"	"Col1a1"
"693"	1.42661495531832e-116	0.9907325689217	0.658	0.64	2.85322991063665e-113	"14"	"Col8a1"
"694"	6.29285253474196e-116	0.841183127592023	0.706	0.727	1.25857050694839e-112	"14"	"Fosl2"
"695"	2.31483081217271e-110	0.863579900649933	0.685	0.668	4.62966162434543e-107	"14"	"Il33"
"696"	9.4721711484432e-108	0.828952011428242	0.685	0.669	1.89443422968864e-104	"14"	"Aebp1"
"697"	1.24437138892957e-70	0.899606521885214	0.512	0.492	2.48874277785915e-67	"14"	"Nt5e"
"698"	5.91948852902603e-53	0.916419733511331	0.564	0.622	1.18389770580521e-49	"14"	"Plat"
"699"	3.44309624610973e-47	0.964876824460145	0.554	0.601	6.88619249221945e-44	"14"	"Thbs4"
"700"	4.90990643529528e-45	1.006926879898	0.552	0.603	9.81981287059055e-42	"14"	"Cxcl1"
"701"	1.33161676401199e-44	0.924293359759528	0.551	0.603	2.66323352802397e-41	"14"	"Tnfaip6"
"702"	2.46225011439107e-34	0.776830286412786	0.608	0.691	4.92450022878215e-31	"14"	"Mt2"
"703"	1.66455010992233e-30	0.842087836064396	0.496	0.568	3.32910021984466e-27	"14"	"Col6a3"
"704"	4.80892918920135e-30	0.862157031779639	0.495	0.563	9.6178583784027e-27	"14"	"Sgk1"
